

; SN 119846 StartLat 56.41166687 StartLon -6.88641405 Time 07/31/2012 06:02:30.24 PTT 119846

Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
119846,31-Jul-2012,06:02:24,1,7.000000,35,134,0,5,,,,56.41166687,-6.88641405,,,19.3,-0.8,,,,14,10,10797,,,,28,8317,,,,6,2160,,,,8,10930,,,,5,3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,31-Jul-2012,12:40:39,2,7.000000,36,134,0,5,56.44087219,-6.82277536,07/31/2012 12:40:44.79,56.44087219,-6.82277536,,,9.6,-1.2,,,,14,20,15972,,,,12,4556,,,,4,8152,,,,2,4875,,,,31,13552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,04-Aug-2012,09:39:44,1,8.000000,38,,0,4,56.40000153,-6.94799805,07/26/2012 13:44:50,56.41597748,-7.00246143,,,1.4,-1.9,,,,14,17,16282,,,,9,10166,,,,15,5983,,,,12,7795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,06-Aug-2012,03:25:52,4,8.000000,39,,0,7,56.45701981,-7.02415323,08/06/2012 03:25:59.33,56.45701981,-7.02415371,,,10.4,-0.7,,,,14,5,7770,,,,10,3624,,,,13,22,,,,2,5012,,,,7,4105,,,,29,5351,,,,26,10723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,09-Aug-2012,15:56:46,1,9.000000,40,,0,6,56.38122559,-6.94113779,08/09/2012 15:56:53.46,56.38122559,-6.94113779,,,2.6,-1.5,,,,14,30,3925,,,,16,14651,,,,21,5571,,,,18,10136,,,,3,4480,,,,6,5920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,19-Aug-2012,05:18:11,1,10.000000,41,,0,5,56.44665527,-7.04734564,08/19/2012 05:18:20.75,56.44665527,-7.04734564,,,18.4,-0.2,,,,14,15,4942,,,,18,3377,,,,27,14859,,,,8,14396,,,,21,7793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,20-Aug-2012,15:55:32,2,11.000000,42,,0,5,56.29917145,-7.01490164,08/20/2012 15:55:40.96,56.29917145,-7.01490164,,,10.1,-2.0,,,,14,8,15764,,,,19,4468,,,,30,11078,,,,26,4781,,,,7,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,21-Aug-2012,22:17:54,1,11.000000,43,,0,4,56.40000153,-6.94799805,07/26/2012 13:44:50,56.22749329,-6.82323933,,,0.7,-2.2,,,,14,12,16180,,,,4,16343,,,,1,7250,,,,23,16267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,31-Aug-2012,18:57:47,1,13.000000,44,,0,6,56.44536972,-7.02458048,08/31/2012 18:57:59.01,56.44536972,-7.02458048,,,7.0,-1.0,,,,14,17,5008,,,,28,13362,,,,22,833,,,,27,2045,,,,11,6754,,,,1,3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119846,14-Sep-2012,03:41:20,1,15.000000,45,,0,8,56.29693604,-7.15254593,09/14/2012 03:41:34.5,56.29693604,-7.15254593,,,15.8,-0.5,,,,14,15,12862,,,,8,9181,,,,28,7862,,,,27,9249,,,,5,77,,,,9,10417,,,,26,16245,,,,18,13663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
