

; SN 119853 StartLat 56.50000000 StartLon -6.50000000 Time 07/26/2012 11:20:00 PTT 119853

Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
119853,26-Jul-2012,11:20:00,,,,,0,1,,,,,,,,,,,,10,14,31,7550,321,4.500000,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,26-Jul-2012,13:55:00,,,28,5,0,4,56.35610199,-6.99041033,07/26/2012 13:55:01.99,56.35609818,-6.99040604,,,0.2,1.0,,,14,14,29,5930,726,1.375000,41,2,5892,524,-0.125000,39,12,8123,483,-2.187500,39,30,8082,446,4.562500,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,26-Jul-2012,20:57:47,,,,,0,0,,,,,,,,,,,,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,27-Jul-2012,00:49:10,,,,,0,0,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,27-Jul-2012,04:31:30,,,29,133,0,5,56.21153641,-7.14300919,07/27/2012 04:31:31.42,56.21153641,-7.14300919,,,2.3,1.4,,,15,14,10,11385,1334,-1.437500,43,7,9619,1051,0.375000,42,13,11441,960,-2.125000,42,8,664,556,3.375000,39,2,10364,487,-1.687500,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,29-Jul-2012,21:47:58,,,,,0,1,,,,,,,,,,,,13,14,19,15583,1161,-2.437500,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,30-Jul-2012,04:31:31,,,,,0,3,,,,,,,,,,,,14,14,8,12478,752,2.875000,41,21,9247,750,4.062500,41,7,15441,522,-0.125000,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,30-Jul-2012,19:36:39,,,,,0,1,,,,,,,,,,,,12,14,3,7910,443,-1.625000,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,30-Jul-2012,22:22:44,,,,,0,2,,,,,,,,,,,,13,14,17,13354,823,3.250000,42,1,8537,345,0.187500,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119853,31-Jul-2012,01:58:48,,,,,0,2,,,,,,,,,,,,14,14,7,11636,361,4.625000,38,20,5716,345,-2.375000,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
